island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,species
Biscoe,35,17.9,192,3725,FEMALE,Adelie
Biscoe,41,20,203,4725,MALE,Adelie
Biscoe,37.7,16,183,3075,FEMALE,Adelie
Biscoe,37.8,20,190,4250,MALE,Adelie
Biscoe,37.9,18.6,193,2925,FEMALE,Adelie
Biscoe,39.7,18.9,184,3550,MALE,Adelie
Biscoe,38.6,17.2,199,3750,FEMALE,Adelie
Biscoe,38.2,20,190,3900,MALE,Adelie
Biscoe,38.1,17,181,3175,FEMALE,Adelie
Biscoe,43.2,19,197,4775,MALE,Adelie
Biscoe,38.1,16.5,198,3825,FEMALE,Adelie
Biscoe,45.6,20.3,191,4600,MALE,Adelie
Biscoe,39.7,17.7,193,3200,FEMALE,Adelie
Biscoe,42.2,19.5,197,4275,MALE,Adelie
Biscoe,39.6,20.7,191,3900,FEMALE,Adelie
Biscoe,42.7,18.3,196,4075,MALE,Adelie
Torgersen,38.6,17,188,2900,FEMALE,Adelie
Torgersen,37.3,20.5,199,3775,MALE,Adelie
Torgersen,35.7,17,189,3350,FEMALE,Adelie
Torgersen,41.1,18.6,189,3325,MALE,Adelie
Torgersen,36.2,17.2,187,3150,FEMALE,Adelie
Torgersen,37.7,19.8,198,3500,MALE,Adelie
Torgersen,40.2,17,176,3450,FEMALE,Adelie
Torgersen,41.4,18.5,202,3875,MALE,Adelie
Torgersen,35.2,15.9,186,3050,FEMALE,Adelie
Torgersen,40.6,19,199,4000,MALE,Adelie
Torgersen,38.8,17.6,191,3275,FEMALE,Adelie
Torgersen,41.5,18.3,195,4300,MALE,Adelie
Torgersen,39,17.1,191,3050,FEMALE,Adelie
Torgersen,44.1,18,210,4000,MALE,Adelie
Torgersen,38.5,17.9,190,3325,FEMALE,Adelie
Torgersen,43.1,19.2,197,3500,MALE,Adelie
Dream,36.8,18.5,193,3500,FEMALE,Adelie
Dream,37.5,18.5,199,4475,MALE,Adelie
Dream,38.1,17.6,187,3425,FEMALE,Adelie
Dream,41.1,17.5,190,3900,MALE,Adelie
Dream,35.6,17.5,191,3175,FEMALE,Adelie
Dream,40.2,20.1,200,3975,MALE,Adelie
Dream,37,16.5,185,3400,FEMALE,Adelie
Dream,39.7,17.9,193,4250,MALE,Adelie
Dream,40.2,17.1,193,3400,FEMALE,Adelie
Dream,40.6,17.2,187,3475,MALE,Adelie
Dream,32.1,15.5,188,3050,FEMALE,Adelie
Dream,40.7,17,190,3725,MALE,Adelie
Dream,37.3,16.8,192,3000,FEMALE,Adelie
Dream,39,18.7,185,3650,MALE,Adelie
Dream,39.2,18.6,190,4250,MALE,Adelie
Dream,36.6,18.4,184,3475,FEMALE,Adelie
Dream,36,17.8,195,3450,FEMALE,Adelie
Dream,37.8,18.1,193,3750,MALE,Adelie
Dream,36,17.1,187,3700,FEMALE,Adelie
Dream,41.5,18.5,201,4000,MALE,Adelie
Dream,46.5,17.9,192,3500,FEMALE,Chinstrap
Dream,50,19.5,196,3900,MALE,Chinstrap
Dream,51.3,19.2,193,3650,MALE,Chinstrap
Dream,45.4,18.7,188,3525,FEMALE,Chinstrap
Dream,52.7,19.8,197,3725,MALE,Chinstrap
Dream,45.2,17.8,198,3950,FEMALE,Chinstrap
Dream,46.1,18.2,178,3250,FEMALE,Chinstrap
Dream,51.3,18.2,197,3750,MALE,Chinstrap
Dream,46,18.9,195,4150,FEMALE,Chinstrap
Dream,51.3,19.9,198,3700,MALE,Chinstrap
Dream,46.6,17.8,193,3800,FEMALE,Chinstrap
Dream,51.7,20.3,194,3775,MALE,Chinstrap
Dream,47,17.3,185,3700,FEMALE,Chinstrap
Dream,52,18.1,201,4050,MALE,Chinstrap
Dream,45.9,17.1,190,3575,FEMALE,Chinstrap
Dream,50.5,19.6,201,4050,MALE,Chinstrap
Dream,50.3,20,197,3300,MALE,Chinstrap
Dream,58,17.8,181,3700,FEMALE,Chinstrap
Dream,46.4,18.6,190,3450,FEMALE,Chinstrap
Dream,49.2,18.2,195,4400,MALE,Chinstrap
Dream,42.4,17.3,181,3600,FEMALE,Chinstrap
Dream,48.5,17.5,191,3400,MALE,Chinstrap
Dream,43.2,16.6,187,2900,FEMALE,Chinstrap
Dream,50.6,19.4,193,3800,MALE,Chinstrap
Dream,46.7,17.9,195,3300,FEMALE,Chinstrap
Dream,52,19,197,4150,MALE,Chinstrap
Dream,50.5,18.4,200,3400,FEMALE,Chinstrap
Dream,49.5,19,200,3800,MALE,Chinstrap
Dream,46.4,17.8,191,3700,FEMALE,Chinstrap
Dream,52.8,20,205,4550,MALE,Chinstrap
Dream,40.9,16.6,187,3200,FEMALE,Chinstrap
Dream,54.2,20.8,201,4300,MALE,Chinstrap
Dream,42.5,16.7,187,3350,FEMALE,Chinstrap
Dream,51,18.8,203,4100,MALE,Chinstrap
Dream,49.7,18.6,195,3600,MALE,Chinstrap
Dream,47.5,16.8,199,3900,FEMALE,Chinstrap
Dream,47.6,18.3,195,3850,FEMALE,Chinstrap
Dream,52,20.7,210,4800,MALE,Chinstrap
Dream,46.9,16.6,192,2700,FEMALE,Chinstrap
Dream,53.5,19.9,205,4500,MALE,Chinstrap
Dream,49,19.5,210,3950,MALE,Chinstrap
Dream,46.2,17.5,187,3650,FEMALE,Chinstrap
Dream,50.9,19.1,196,3550,MALE,Chinstrap
Dream,45.5,17,196,3500,FEMALE,Chinstrap
Dream,50.9,17.9,196,3675,FEMALE,Chinstrap
Dream,50.8,18.5,201,4450,MALE,Chinstrap
Dream,50.1,17.9,190,3400,FEMALE,Chinstrap
Dream,49,19.6,212,4300,MALE,Chinstrap
Dream,51.5,18.7,187,3250,MALE,Chinstrap
Dream,49.8,17.3,198,3675,FEMALE,Chinstrap
Dream,48.1,16.4,199,3325,FEMALE,Chinstrap
Dream,51.4,19,201,3950,MALE,Chinstrap
Dream,45.7,17.3,193,3600,FEMALE,Chinstrap
Dream,50.7,19.7,203,4050,MALE,Chinstrap
Dream,42.5,17.3,187,3350,FEMALE,Chinstrap
Dream,52.2,18.8,197,3450,MALE,Chinstrap
Dream,45.2,16.6,191,3250,FEMALE,Chinstrap
Dream,49.3,19.9,203,4050,MALE,Chinstrap
Dream,50.2,18.8,202,3800,MALE,Chinstrap
Dream,45.6,19.4,194,3525,FEMALE,Chinstrap
Dream,51.9,19.5,206,3950,MALE,Chinstrap
Dream,46.8,16.5,189,3650,FEMALE,Chinstrap
Dream,45.7,17,195,3650,FEMALE,Chinstrap
Dream,55.8,19.8,207,4000,MALE,Chinstrap
Dream,43.5,18.1,202,3400,FEMALE,Chinstrap
Dream,49.6,18.2,193,3775,MALE,Chinstrap
Dream,50.8,19,210,4100,MALE,Chinstrap
Dream,50.2,18.7,198,3775,FEMALE,Chinstrap
Biscoe,46.1,13.2,211,4500,FEMALE,Gentoo
Biscoe,50,16.3,230,5700,MALE,Gentoo
Biscoe,48.7,14.1,210,4450,FEMALE,Gentoo
Biscoe,50,15.2,218,5700,MALE,Gentoo
Biscoe,47.6,14.5,215,5400,MALE,Gentoo
Biscoe,46.5,13.5,210,4550,FEMALE,Gentoo
Biscoe,45.4,14.6,211,4800,FEMALE,Gentoo
Biscoe,46.7,15.3,219,5200,MALE,Gentoo
Biscoe,43.3,13.4,209,4400,FEMALE,Gentoo
Biscoe,46.8,15.4,215,5150,MALE,Gentoo
Biscoe,40.9,13.7,214,4650,FEMALE,Gentoo
Biscoe,49,16.1,216,5550,MALE,Gentoo
Biscoe,45.5,13.7,214,4650,FEMALE,Gentoo
Biscoe,48.4,14.6,213,5850,MALE,Gentoo
Biscoe,45.8,14.6,210,4200,FEMALE,Gentoo
Biscoe,49.3,15.7,217,5850,MALE,Gentoo
Biscoe,42,13.5,210,4150,FEMALE,Gentoo
Biscoe,49.2,15.2,221,6300,MALE,Gentoo
Biscoe,46.2,14.5,209,4800,FEMALE,Gentoo
Biscoe,48.7,15.1,222,5350,MALE,Gentoo
Biscoe,50.2,14.3,218,5700,MALE,Gentoo
Biscoe,45.1,14.5,215,5000,FEMALE,Gentoo
Biscoe,46.5,14.5,213,4400,FEMALE,Gentoo
Biscoe,46.3,15.8,215,5050,MALE,Gentoo
Biscoe,42.9,13.1,215,5000,FEMALE,Gentoo
Biscoe,46.1,15.1,215,5100,MALE,Gentoo
Biscoe,44.5,14.3,216,4100,MALE,Gentoo
Biscoe,47.8,15,215,5650,MALE,Gentoo
Biscoe,48.2,14.3,210,4600,FEMALE,Gentoo
Biscoe,50,15.3,220,5550,MALE,Gentoo
Biscoe,47.3,15.3,222,5250,MALE,Gentoo
Biscoe,42.8,14.2,209,4700,FEMALE,Gentoo
Biscoe,45.1,14.5,207,5050,FEMALE,Gentoo
Biscoe,59.6,17,230,6050,MALE,Gentoo
Biscoe,49.1,14.8,220,5150,FEMALE,Gentoo
Biscoe,48.4,16.3,220,5400,MALE,Gentoo
Biscoe,42.6,13.7,213,4950,FEMALE,Gentoo
Biscoe,44.4,17.3,219,5250,MALE,Gentoo
Biscoe,44,13.6,208,4350,FEMALE,Gentoo
Biscoe,48.7,15.7,208,5350,MALE,Gentoo
Biscoe,42.7,13.7,208,3950,FEMALE,Gentoo
Biscoe,49.6,16,225,5700,MALE,Gentoo
Biscoe,45.3,13.7,210,4300,FEMALE,Gentoo
Biscoe,49.6,15,216,4750,MALE,Gentoo
Biscoe,50.5,15.9,222,5550,MALE,Gentoo
Biscoe,43.6,13.9,217,4900,FEMALE,Gentoo
Biscoe,45.5,13.9,210,4200,FEMALE,Gentoo
Biscoe,50.5,15.9,225,5400,MALE,Gentoo
Biscoe,44.9,13.3,213,5100,FEMALE,Gentoo
Biscoe,45.2,15.8,215,5300,MALE,Gentoo
Biscoe,46.6,14.2,210,4850,FEMALE,Gentoo
Biscoe,48.5,14.1,220,5300,MALE,Gentoo
Biscoe,45.1,14.4,210,4400,FEMALE,Gentoo
Biscoe,50.1,15,225,5000,MALE,Gentoo
Biscoe,46.5,14.4,217,4900,FEMALE,Gentoo
Biscoe,45,15.4,220,5050,MALE,Gentoo
Biscoe,43.8,13.9,208,4300,FEMALE,Gentoo
Biscoe,45.5,15,220,5000,MALE,Gentoo
Biscoe,43.2,14.5,208,4450,FEMALE,Gentoo
Biscoe,50.4,15.3,224,5550,MALE,Gentoo
Biscoe,45.3,13.8,208,4200,FEMALE,Gentoo
Biscoe,46.2,14.9,221,5300,MALE,Gentoo
Biscoe,45.7,13.9,214,4400,FEMALE,Gentoo
Biscoe,54.3,15.7,231,5650,MALE,Gentoo
Biscoe,45.8,14.2,219,4700,FEMALE,Gentoo
Biscoe,49.8,16.8,230,5700,MALE,Gentoo
Biscoe,46.2,14.4,214,4650,MALE,Gentoo
Biscoe,49.5,16.2,229,5800,MALE,Gentoo
Biscoe,43.5,14.2,220,4700,FEMALE,Gentoo
Biscoe,50.7,15,223,5550,MALE,Gentoo
Biscoe,47.7,15,216,4750,FEMALE,Gentoo
Biscoe,46.4,15.6,221,5000,MALE,Gentoo
Biscoe,48.2,15.6,221,5100,MALE,Gentoo
Biscoe,46.5,14.8,217,5200,FEMALE,Gentoo
Biscoe,46.4,15,216,4700,FEMALE,Gentoo
Biscoe,48.6,16,230,5800,MALE,Gentoo
Biscoe,47.5,14.2,209,4600,FEMALE,Gentoo
Biscoe,51.1,16.3,220,6000,MALE,Gentoo
Biscoe,45.2,13.8,215,4750,FEMALE,Gentoo
Biscoe,45.2,16.4,223,5950,MALE,Gentoo
Biscoe,49.1,14.5,212,4625,FEMALE,Gentoo
Biscoe,52.5,15.6,221,5450,MALE,Gentoo
Biscoe,47.4,14.6,212,4725,FEMALE,Gentoo
Biscoe,50,15.9,224,5350,MALE,Gentoo
Biscoe,44.9,13.8,212,4750,FEMALE,Gentoo
Biscoe,50.8,17.3,228,5600,MALE,Gentoo
Biscoe,43.4,14.4,218,4600,FEMALE,Gentoo
Biscoe,51.3,14.2,218,5300,MALE,Gentoo
Biscoe,47.5,14,212,4875,FEMALE,Gentoo
Biscoe,52.1,17,230,5550,MALE,Gentoo
Biscoe,47.5,15,218,4950,FEMALE,Gentoo
Biscoe,52.2,17.1,228,5400,MALE,Gentoo
Biscoe,45.5,14.5,212,4750,FEMALE,Gentoo
Biscoe,49.5,16.1,224,5650,MALE,Gentoo
Biscoe,44.5,14.7,214,4850,FEMALE,Gentoo
Biscoe,50.8,15.7,226,5200,MALE,Gentoo
Biscoe,49.4,15.8,216,4925,MALE,Gentoo
Biscoe,46.9,14.6,222,4875,FEMALE,Gentoo
Biscoe,48.4,14.4,203,4625,FEMALE,Gentoo
Biscoe,51.1,16.5,225,5250,MALE,Gentoo
Biscoe,48.5,15,219,4850,FEMALE,Gentoo
Biscoe,55.9,17,228,5600,MALE,Gentoo
Biscoe,47.2,15.5,215,4975,FEMALE,Gentoo
Biscoe,49.1,15,228,5500,MALE,Gentoo
Biscoe,47.3,13.8,216,4725,MALE,Gentoo
Biscoe,46.8,16.1,215,5500,MALE,Gentoo
Biscoe,41.7,14.7,210,4700,FEMALE,Gentoo
Biscoe,53.4,15.8,219,5500,MALE,Gentoo
Biscoe,43.3,14,208,4575,FEMALE,Gentoo
Biscoe,48.1,15.1,209,5500,MALE,Gentoo
Biscoe,50.5,15.2,216,5000,FEMALE,Gentoo
Biscoe,49.8,15.9,229,5950,MALE,Gentoo
Biscoe,43.5,15.2,213,4650,FEMALE,Gentoo
Biscoe,51.5,16.3,230,5500,MALE,Gentoo
Biscoe,46.2,14.1,217,4375,FEMALE,Gentoo
Biscoe,55.1,16,230,5850,MALE,Gentoo
Biscoe,48.8,16.2,222,6000,MALE,Gentoo
Biscoe,47.2,13.7,214,4925,FEMALE,Gentoo
Biscoe,43.92192982,17.15116959,200.9152047,4201.754386,MALE,Gentoo
Biscoe,46.8,14.3,215,4850,FEMALE,Gentoo
Biscoe,50.4,15.7,222,5750,MALE,Gentoo
Biscoe,45.2,14.8,212,5200,FEMALE,Gentoo
Biscoe,49.9,16.1,213,5400,MALE,Gentoo
Dream,45.20768943,17.1395606,188.2197728,3579.945075,FEMALE,Chinstrap
Dream,42.5,17.25526961,187,3350,FEMALE,Chinstrap
Dream,50.47377387,18.38819824,199.8819824,3400,FEMALE,Chinstrap
Dream,48.83453012,18.25836715,193.8612238,3594.306119,FEMALE,Chinstrap
Dream,51.44359609,20.2032108,207.0192648,4720.513727,MALE,Chinstrap
Dream,52.69226904,19.80055221,197.0055221,3724.861947,MALE,Chinstrap
Dream,45.254115,17.13690771,188.3391529,3579.613464,FEMALE,Chinstrap
Dream,47.68960028,16.83971398,197.8274294,3317.671434,FEMALE,Chinstrap
Dream,46.96336129,17.56908495,196,3513.549642,FEMALE,Chinstrap
Dream,50.95425407,18.84574593,204.6011076,4100,MALE,Chinstrap
Dream,57.50390083,17.95549377,182.2587591,3700,FEMALE,Chinstrap
Dream,50.49047662,18.84523831,198.5846573,4453.769859,MALE,Chinstrap
Dream,41.50251911,16.7853905,185.9571785,3205.793453,FEMALE,Chinstrap
Dream,44.45827602,18.14106897,201.7262069,3400,FEMALE,Chinstrap
Dream,52.3013615,20.43630869,208.1164906,4705.824532,MALE,Chinstrap
Dream,48.1566819,16.96325723,191.3162862,3658.272451,FEMALE,Chinstrap
Dream,51.24745996,19.03177918,201.5720252,3950,MALE,Chinstrap
Dream,50.2,18.76890177,200.7560707,3792.225442,FEMALE,Chinstrap
Dream,44.94890007,16.6,190.3740834,2862.591661,FEMALE,Chinstrap
Dream,50.9596695,18.50815753,199.1888185,3413.519691,FEMALE,Chinstrap
Dream,42.5,17.08253448,187,3350,FEMALE,Chinstrap
Dream,49.33757224,17.26616382,197.6616382,3672.180319,FEMALE,Chinstrap
Dream,52.0388991,19.04445612,197,3736.805373,MALE,Chinstrap
Dream,47.43027222,16.43587827,197.564869,3327.989856,FEMALE,Chinstrap
Dream,52.70887289,20.45589374,204.1543073,4300,MALE,Chinstrap
Dream,52.36509907,19.8239215,197.239215,3719.019626,MALE,Chinstrap
Dream,51.47548912,19.12131789,195.6838316,3760.96807,MALE,Chinstrap
Dream,51.77096718,18.26032297,201.4580656,4061.451641,MALE,Chinstrap
Dream,51.40744528,19.61364969,205.5558396,4627.171541,MALE,Chinstrap
Dream,42.5,16.9863603,187,3350,FEMALE,Chinstrap
Dream,50.71737694,20.22970488,210.855082,4586.229491,MALE,Chinstrap
Dream,49.7406706,18.61525148,194.9491617,3601.270956,MALE,Chinstrap
Dream,47.03156571,17.97262628,193,3800,FEMALE,Chinstrap
Dream,46.76028885,17.87857296,193.0314292,3799.21427,FEMALE,Chinstrap
Dream,50.73630751,19.52733353,193.3641041,3281.820521,MALE,Chinstrap
Dream,54.41683368,19.54851522,205.1138641,3984.282201,MALE,Chinstrap
Dream,46.94000516,18.24742879,201.0171414,3400,FEMALE,Chinstrap
Dream,45.80167688,16.95378324,194.4453988,3650,FEMALE,Chinstrap
Dream,49.47790186,18.44985845,197.5070777,3412.464611,FEMALE,Chinstrap
Dream,52.12546391,19.84103829,197.4103829,3714.740427,MALE,Chinstrap
Dream,47.33334658,17.89777954,193,3793.888778,FEMALE,Chinstrap
Dream,50.93136055,19.00591835,203,4088.560092,MALE,Chinstrap
Dream,43.08504731,17.34618795,187.2309397,3353.848995,FEMALE,Chinstrap
Dream,55.94276468,17.82897515,185.3462718,3692.756214,FEMALE,Chinstrap
Dream,55.17123698,19.75163361,206.8387787,3991.938936,MALE,Chinstrap
Dream,50.92812094,17.99139305,195.789093,3673.242441,FEMALE,Chinstrap
Dream,47.13614995,18.29593981,179.7269166,3250,FEMALE,Chinstrap
Dream,46.39674413,16.79327699,190.466385,3631.670188,FEMALE,Chinstrap
Dream,49.73725812,18.67146059,200.8431453,3800,FEMALE,Chinstrap
Dream,50.2,18.78036721,201.2146883,3795.091802,FEMALE,Chinstrap
Dream,46.41865701,18.46940096,190.3731401,3459.328503,FEMALE,Chinstrap
Dream,45.7,17.0322323,194.785118,3644.62795,FEMALE,Chinstrap
Dream,48.36523742,19.17081604,188.2475026,3276.967112,FEMALE,Chinstrap
Dream,46.68446409,16.69255984,188.6148803,3650,FEMALE,Chinstrap
Dream,47.07407132,18.11820827,195.2078174,3300,FEMALE,Chinstrap
Dream,51.17279861,19.26399305,197.3639931,3692.049913,FEMALE,Chinstrap
Dream,46.40095327,18.06507789,192.2201038,3502.751298,FEMALE,Chinstrap
Dream,47.28380549,17.89117407,193,3794.301621,FEMALE,Chinstrap
Dream,49.18337246,17.67084312,190.5728922,3400,FEMALE,Chinstrap
Dream,50.25477933,19.40900738,196.9099262,3909.099262,MALE,Chinstrap
Dream,49.38219175,17.18858447,196.7465752,3671.518265,FEMALE,Chinstrap
Dream,46.87427712,16.6,191.9652393,2701.390426,FEMALE,Chinstrap
Dream,45.44892527,17.86827041,191.9140216,3512.768683,FEMALE,Chinstrap
Dream,47.87834951,19.1921877,197.504466,4108.2589,FEMALE,Chinstrap
Dream,43.74380374,16.63336766,189.6652937,3344.447305,FEMALE,Chinstrap
Dream,49.28767688,19.44006732,208.9212117,3950,MALE,Chinstrap
Dream,52.42183737,19.73376152,204.3504607,4033.119241,MALE,Chinstrap
Dream,55.57734785,19.78287291,206.9429097,3997.145485,MALE,Chinstrap
Dream,42.5,17.10607824,187,3350,FEMALE,Chinstrap
Dream,48.09853064,18.01053969,196,3524.060469,FEMALE,Chinstrap
Dream,49.64664171,18.93086825,197.5939621,3307.424526,FEMALE,Chinstrap
Dream,50.90911119,20.30000744,210.7272592,4618.185199,MALE,Chinstrap
Dream,45.40564358,18.71975254,188.1693075,3525,FEMALE,Chinstrap
Dream,45.60653988,18.71502108,188.3004216,3525.938818,FEMALE,Chinstrap
Dream,47.48408971,17.9280299,188.5106938,3650,FEMALE,Chinstrap
Dream,49.0994497,18.90385209,203.5467754,4349.724851,MALE,Chinstrap
Dream,50.53096614,18.54956085,197.6991217,3767.478042,FEMALE,Chinstrap
Dream,47.62542578,18.08484049,195.5635644,3800,FEMALE,Chinstrap
Dream,52.12253741,18.76680175,196.7417914,3448.155653,FEMALE,Chinstrap
Dream,45.56095643,18.4629544,194.7808713,3515.239108,FEMALE,Chinstrap
Dream,49.20589385,18.20964448,197.994642,3312.433024,FEMALE,Chinstrap
Dream,51.9382255,20.58674675,209.5366912,4781.982437,MALE,Chinstrap
Dream,47.67187879,18.92786465,195.5572929,4150,FEMALE,Chinstrap
Dream,49.65867057,18.4385087,195.5504047,4390.826589,MALE,Chinstrap
Biscoe,50.09504507,15.34954932,224.2972959,5700,MALE,Gentoo
Biscoe,50.18038928,14.1600139,218.7997219,5300,MALE,Gentoo
Biscoe,46.36466958,14.37666717,217,4900,FEMALE,Gentoo
Biscoe,45.48950221,14.98687776,219.8687776,5000,FEMALE,Gentoo
Biscoe,45.68361433,14.41378293,209.5344573,4200,FEMALE,Gentoo
Biscoe,47.8083948,14.6449703,214.8187871,5400,MALE,Gentoo
Biscoe,49.15793679,15.8526456,209.90807,5369.0807,MALE,Gentoo
Biscoe,43.89440118,13.82667778,216.91231,5000,FEMALE,Gentoo
Biscoe,47.82850749,15.01844603,215.150922,5650,MALE,Gentoo
Biscoe,45.39335258,13.79335258,210,4253.323711,FEMALE,Gentoo
Biscoe,45.59804172,13.79804172,214,4650,FEMALE,Gentoo
Biscoe,50.63529266,16.41969246,217.7953869,5400,MALE,Gentoo
Biscoe,50.05594858,15.69554918,220.5495007,6164.850224,MALE,Gentoo
Biscoe,46.33765468,14.99602051,215.9204102,4700,FEMALE,Gentoo
Biscoe,46.34449561,14.91155965,221.0577982,5302.889912,MALE,Gentoo
Biscoe,43.09177946,13.84936943,212.6202707,4128.164411,FEMALE,Gentoo
Biscoe,46.62395815,15.0541666,221.3854165,5280.729175,MALE,Gentoo
Biscoe,43.48882362,14.2,219.8243712,4700,FEMALE,Gentoo
Biscoe,48.19219556,14.35382123,204.385363,4619.227654,FEMALE,Gentoo
Biscoe,46.86974397,14.40717963,212.7230764,4731.025637,FEMALE,Gentoo
Biscoe,49.52849391,16.23167365,221.366527,6000,MALE,Gentoo
Biscoe,43.87800067,13.782999,208,4319.500167,FEMALE,Gentoo
